2025-03-17 15:59:30, INFO: Current git head hash code: %s
2025-03-17 15:59:30, INFO: Using device: cuda:0
2025-03-17 15:59:30, INFO: Policy: SARL w/ global state
2025-03-17 15:59:30, INFO: robot number: 8
2025-03-17 15:59:30, INFO: human number: 5
2025-03-17 15:59:30, INFO: Not randomize human's radius and preferred speed
2025-03-17 15:59:30, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2025-03-17 15:59:30, INFO: Square width: 10.0, circle width: 4.0
2025-03-17 15:59:30, INFO: Load imitation learning trained weights.
2025-03-17 15:59:30, INFO: Agent is visible and has holonomic kinematic constraint
2025-03-17 15:59:30, INFO: Agent is visible and has holonomic kinematic constraint
2025-03-17 15:59:30, INFO: Agent is visible and has holonomic kinematic constraint
2025-03-17 15:59:30, INFO: Agent is visible and has holonomic kinematic constraint
2025-03-17 15:59:30, INFO: Agent is visible and has holonomic kinematic constraint
2025-03-17 15:59:30, INFO: Agent is visible and has holonomic kinematic constraint
2025-03-17 15:59:30, INFO: Agent is visible and has holonomic kinematic constraint
2025-03-17 15:59:30, INFO: Agent is visible and has holonomic kinematic constraint
2025-03-17 15:59:30, INFO: Current learning rate: 0.001000
2025-03-17 17:04:23, INFO: VAL   in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0004
2025-03-17 17:04:23, INFO: Frequency of being in danger: 0.00 and average min separate distance in danger: 0.00
2025-03-17 17:04:45, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0647
2025-03-17 17:05:10, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0409
2025-03-17 17:05:29, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.1281
2025-03-17 17:05:55, INFO: TRAIN in episode 3 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0145
2025-03-17 17:06:21, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.1261
2025-03-17 17:06:48, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.2239
2025-03-17 17:06:56, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.1377
2025-03-17 17:07:19, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0299
2025-03-17 17:07:47, INFO: TRAIN in episode 8 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0713
2025-03-17 17:08:06, INFO: TRAIN in episode 9 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0872
2025-03-17 17:08:40, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0474
2025-03-17 17:08:57, INFO: TRAIN in episode 11 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0536
2025-03-17 17:09:20, INFO: TRAIN in episode 12 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0497
2025-03-17 17:10:22, INFO: TRAIN in episode 13 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.1293
2025-03-17 17:10:29, INFO: TRAIN in episode 14 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0602
2025-03-17 17:10:39, INFO: TRAIN in episode 15 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.1057
