2025-03-10 10:57:03, INFO: TRAIN in episode 0 has success rate: 0.01, collision rate: 0.99, nav time: 26.50, total reward: 0.4160
2025-03-10 10:59:31, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3183
2025-03-10 11:00:25, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4083
2025-03-10 11:01:21, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3997
2025-03-10 11:02:09, INFO: TRAIN in episode 3 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4057
2025-03-10 11:02:45, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3966
2025-03-10 11:03:46, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4119
2025-03-10 11:04:38, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3942
2025-03-10 11:05:54, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4140
2025-03-10 11:06:08, INFO: TRAIN in episode 8 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4033
2025-03-10 11:07:38, INFO: TRAIN in episode 9 has success rate: 1.00, collision rate: 0.00, nav time: 24.00, total reward: 0.4166
2025-03-10 11:09:12, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4094
2025-03-10 11:09:24, INFO: TRAIN in episode 11 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4084
2025-03-10 11:10:38, INFO: TRAIN in episode 12 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4199
2025-03-18 23:56:03, INFO: TRAIN in episode 0 has success rate: 0.01, collision rate: 0.99, nav time: 27.25, total reward: 0.4160
2025-03-19 00:00:26, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4111
2025-03-19 00:03:01, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4180
