2025-04-17 17:58:49, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -60.4654
2025-04-17 17:59:54, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -26.1203
2025-04-17 18:00:51, INFO: TRAIN in episode 3 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 5.8858
2025-04-17 18:01:47, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -35.6339
2025-04-17 18:02:42, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -33.2370
2025-04-17 18:03:38, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -32.2644
2025-04-17 18:04:12, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -23.8510
2025-04-17 18:05:04, INFO: TRAIN in episode 8 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -30.3447
2025-04-17 18:05:57, INFO: TRAIN in episode 9 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -15.7070
2025-04-17 18:06:42, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -30.4052
2025-04-17 18:07:26, INFO: TRAIN in episode 11 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -24.4588
2025-04-17 18:08:26, INFO: TRAIN in episode 12 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -29.2514
2025-04-17 18:09:21, INFO: TRAIN in episode 13 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -26.2528
2025-04-17 18:10:19, INFO: TRAIN in episode 14 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -5.1629
2025-04-17 18:11:21, INFO: TRAIN in episode 15 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -18.3481
2025-04-17 18:12:03, INFO: TRAIN in episode 16 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -27.2395
2025-04-17 18:13:00, INFO: TRAIN in episode 17 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -31.6224
2025-04-17 18:13:24, INFO: TRAIN in episode 18 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -15.2274
2025-04-17 18:14:37, INFO: TRAIN in episode 19 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -40.5029
2025-04-17 18:15:38, INFO: TRAIN in episode 20 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -21.0790
2025-04-17 18:16:26, INFO: TRAIN in episode 21 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -33.7837
2025-04-17 18:17:32, INFO: TRAIN in episode 22 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -10.2517
2025-04-17 18:18:13, INFO: TRAIN in episode 23 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -28.5901
2025-04-17 18:19:10, INFO: TRAIN in episode 24 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 4.5092
2025-04-17 18:20:15, INFO: TRAIN in episode 25 has success rate: 0.00, collision rate: 0.00, nav time: 35.00, total reward: 17.7511
2025-04-17 18:21:12, INFO: TRAIN in episode 26 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -26.7870
2025-04-17 18:21:44, INFO: TRAIN in episode 27 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -21.3874
2025-04-17 18:22:17, INFO: TRAIN in episode 28 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -20.9237
2025-04-17 18:23:17, INFO: TRAIN in episode 29 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -32.3208
2025-04-17 18:24:17, INFO: TRAIN in episode 30 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -14.7139
2025-04-17 18:25:15, INFO: TRAIN in episode 31 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -30.1806
2025-04-17 18:26:10, INFO: TRAIN in episode 32 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -33.6493
2025-04-17 18:27:09, INFO: TRAIN in episode 33 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -21.9064
2025-04-17 18:28:08, INFO: TRAIN in episode 34 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -5.5405
2025-04-17 18:29:08, INFO: TRAIN in episode 35 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -32.5771
2025-04-17 18:30:07, INFO: TRAIN in episode 36 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -34.1225
2025-04-17 18:31:03, INFO: TRAIN in episode 37 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 3.3609
2025-04-17 18:32:04, INFO: TRAIN in episode 38 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -26.9808
2025-04-17 18:33:10, INFO: TRAIN in episode 39 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -36.7052
2025-04-17 18:34:05, INFO: TRAIN in episode 40 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 14.4784
2025-04-17 18:35:04, INFO: TRAIN in episode 41 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -15.3116
2025-04-17 18:36:06, INFO: TRAIN in episode 42 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -14.0384
2025-04-17 18:37:08, INFO: TRAIN in episode 43 has success rate: 0.00, collision rate: 0.00, nav time: 35.00, total reward: 12.1974
2025-04-17 18:38:07, INFO: TRAIN in episode 44 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -17.7679
2025-04-17 18:39:05, INFO: TRAIN in episode 45 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -27.9265
2025-04-17 18:40:02, INFO: TRAIN in episode 46 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -28.9466
2025-04-17 18:41:00, INFO: TRAIN in episode 47 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -33.2319
2025-04-17 18:41:46, INFO: TRAIN in episode 48 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -32.1317
2025-04-17 18:42:45, INFO: TRAIN in episode 49 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -12.8285
2025-04-17 18:43:41, INFO: TRAIN in episode 50 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -21.4582
2025-04-17 18:45:45, INFO: TRAIN in episode 51 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -60.7552
2025-04-17 18:46:51, INFO: TRAIN in episode 52 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -37.8751
2025-04-17 18:47:57, INFO: TRAIN in episode 53 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -39.4409
2025-04-17 18:48:21, INFO: TRAIN in episode 54 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -20.2585
2025-04-17 18:49:23, INFO: TRAIN in episode 55 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -34.8343
2025-04-17 18:50:22, INFO: TRAIN in episode 56 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -13.9618
2025-04-17 18:51:33, INFO: TRAIN in episode 57 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -41.7165
2025-04-17 18:52:14, INFO: TRAIN in episode 58 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -27.7512
2025-04-17 18:52:57, INFO: TRAIN in episode 59 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -30.4849
2025-04-17 18:53:50, INFO: TRAIN in episode 60 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -28.9205
2025-04-17 18:54:33, INFO: TRAIN in episode 61 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -26.1683
2025-04-17 18:55:31, INFO: TRAIN in episode 62 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -9.5051
