2025-03-21 18:22:59, INFO: Current git head hash code: %s
2025-03-21 18:23:00, INFO: Using device: cuda:0
2025-03-21 18:23:04, INFO: robot number: 8
2025-03-21 18:23:04, INFO: human number: 5
2025-03-21 18:23:04, INFO: Not randomize human's radius and preferred speed
2025-03-21 18:23:04, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2025-03-21 18:23:04, INFO: Square width: 10.0, circle width: 4.0
2025-03-21 18:23:04, INFO: Current learning rate: 0.010000
2025-03-21 18:23:05, INFO: Episode 5/10000, reward so far: -5.0000
2025-03-21 18:23:05, INFO: Episode 10/10000, reward so far: -5.0000
2025-03-21 18:23:06, INFO: Episode 15/10000, reward so far: -5.0000
2025-03-21 18:23:06, INFO: Episode 20/10000, reward so far: -5.0000
2025-03-21 18:23:07, INFO: Episode 25/10000, reward so far: -5.0000
2025-03-21 18:23:07, INFO: Episode 30/10000, reward so far: -5.0000
2025-03-21 18:23:07, INFO: Episode 35/10000, reward so far: -5.0000
2025-03-21 18:23:08, INFO: Episode 40/10000, reward so far: -5.0000
2025-03-21 18:23:08, INFO: Episode 45/10000, reward so far: -5.0000
2025-03-21 18:23:09, INFO: Episode 50/10000, reward so far: -5.0000
2025-03-21 18:23:09, INFO: Episode 55/10000, reward so far: -5.0000
2025-03-21 18:23:10, INFO: Episode 60/10000, reward so far: -5.0000
2025-03-21 18:23:10, INFO: Episode 65/10000, reward so far: -5.0000
2025-03-21 18:23:10, INFO: Episode 70/10000, reward so far: -5.0000
2025-03-21 18:23:11, INFO: Episode 75/10000, reward so far: -5.0000
2025-03-21 18:23:11, INFO: Episode 80/10000, reward so far: -5.0000
2025-03-21 18:23:12, INFO: Episode 85/10000, reward so far: -5.0000
2025-03-21 18:23:12, INFO: Episode 90/10000, reward so far: -5.0000
2025-03-21 18:23:12, INFO: Episode 95/10000, reward so far: -5.0000
2025-03-21 18:23:13, INFO: Episode 100/10000, reward so far: -5.0000
2025-03-21 18:23:13, INFO: Episode 105/10000, reward so far: -5.0000
2025-03-21 18:23:14, INFO: Episode 110/10000, reward so far: -5.0000
2025-03-21 18:23:14, INFO: Episode 115/10000, reward so far: -5.0000
2025-03-21 18:23:15, INFO: Episode 120/10000, reward so far: -5.0000
2025-03-21 18:23:15, INFO: Episode 125/10000, reward so far: -5.0000
2025-03-21 18:23:16, INFO: Episode 130/10000, reward so far: -5.0000
2025-03-21 18:23:16, INFO: Episode 135/10000, reward so far: -5.0000
2025-03-21 18:23:16, INFO: Episode 140/10000, reward so far: -5.0000
2025-03-21 18:23:17, INFO: Episode 145/10000, reward so far: -5.0000
2025-03-21 18:23:17, INFO: Episode 150/10000, reward so far: -5.0000
2025-03-21 18:23:18, INFO: Episode 155/10000, reward so far: -5.0000
2025-03-21 18:23:18, INFO: Episode 160/10000, reward so far: -5.0000
2025-03-21 18:23:19, INFO: Episode 165/10000, reward so far: -5.0000
2025-03-21 18:23:20, INFO: Episode 170/10000, reward so far: -5.0000
2025-03-21 18:23:20, INFO: Episode 175/10000, reward so far: -5.0000
2025-03-21 18:23:21, INFO: Episode 180/10000, reward so far: -5.0000
2025-03-21 18:23:21, INFO: Episode 185/10000, reward so far: -5.0000
2025-03-21 18:23:21, INFO: Episode 190/10000, reward so far: -5.0000
2025-03-21 18:23:22, INFO: Episode 195/10000, reward so far: -5.0000
