2024-12-22 19:34:53, INFO: Current git head hash code: %s
2024-12-22 19:34:53, INFO: Using device: cuda:0
2024-12-22 19:34:53, INFO: Policy: SARL w/ global state
2024-12-22 19:34:55, INFO: robot number: 8
2024-12-22 19:34:55, INFO: human number: 5
2024-12-22 19:34:55, INFO: Not randomize human's radius and preferred speed
2024-12-22 19:34:55, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2024-12-22 19:34:55, INFO: Square width: 10.0, circle width: 4.0
2024-12-22 19:34:55, INFO: Current learning rate: 0.010000
2024-12-22 20:07:57, INFO: Current git head hash code: %s
2024-12-22 20:07:57, INFO: Using device: cuda:0
2024-12-22 20:07:57, INFO: Policy: SARL w/ global state
2024-12-22 20:07:59, INFO: robot number: 8
2024-12-22 20:07:59, INFO: human number: 5
2024-12-22 20:07:59, INFO: Not randomize human's radius and preferred speed
2024-12-22 20:07:59, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2024-12-22 20:07:59, INFO: Square width: 10.0, circle width: 4.0
2024-12-22 20:07:59, INFO: Load reinforcement learning trained weights. Resume training
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Current learning rate: 0.001000
2024-12-22 20:36:06, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 20:36:06, INFO: Experience set size: 35536/100000
2024-12-22 21:02:45, INFO: VAL   in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:02:45, INFO: Frequency of being in danger: 0.20 and average min separate distance in danger: 0.09
2024-12-22 21:02:54, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:03:23, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:03:38, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:03:55, INFO: TRAIN in episode 3 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:04:27, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:04:46, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0007
2024-12-22 21:04:59, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:05:12, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:05:49, INFO: TRAIN in episode 8 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:06:00, INFO: TRAIN in episode 9 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:06:12, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:06:53, INFO: TRAIN in episode 11 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:07:31, INFO: TRAIN in episode 12 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:07:44, INFO: TRAIN in episode 13 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
